TrackingNumber,Carrier,DeliveryDate
00168157150,Canada Post,8/23/2010
00231817926,eShipper,4/18/2015
00058951853,Freightera,11/16/2013
00304087314,DHL Express,7/17/2010
00000664002,eShipper,9/29/2020
00200183451,Canada Post,11/3/2016
00488334605,Purolator,5/9/2017
00136103534,Canada Post,7/26/2016
00802326101,eShipper,8/6/2020
00719329786,Purolator,3/19/2014
00335252061,DHL Express,6/16/2020
00120900162,Purolator,8/11/2019
00804997995,Canpar Express,4/20/2017
00142433728,Canada Post,7/6/2020
00430483163,Canpar Express,8/26/2014
00974803114,Canpar Express,6/18/2014
00742249213,DHL Express,1/28/2020
00284807814,Canada Post,10/11/2020
00700714223,Canada Post,4/4/2015
00762162939,Canpar Express,7/26/2019
00443314302,Canpar Express,12/16/2013
00378661560,eShipper,4/4/2016
00000086233,Purolator,3/13/2015
00940780468,Freightera,3/5/2018
00017654915,Canpar Express,9/3/2013
00112681675,Canpar Express,4/22/2019
00611029822,DHL Express,12/27/2016
00115329073,Purolator,3/14/2013
00851807895,Canada Post,1/8/2018
00119211284,Canada Post,7/28/2014
00006639652,Purolator,12/8/2020
00463081506,eShipper,1/24/2011
00759631677,Freightera,4/13/2010
00950992760,Canada Post,4/7/2011
00915486492,Canpar Express,9/27/2012
00401394616,Freightera,4/19/2021
00748400391,Freightera,7/3/2016
00788375054,DHL Express,6/13/2018
00519258060,eShipper,11/26/2016
00202826334,eShipper,11/9/2020
00072795189,eShipper,3/6/2014
00086604711,eShipper,5/26/2014
00250239398,eShipper,12/15/2011
00714453023,Purolator,11/3/2018
00291129104,Canada Post,11/30/2013
00748071746,Freightera,1/7/2012
00680644800,Freightera,3/13/2019
00948995497,Canada Post,3/15/2021
00132074085,eShipper,5/28/2015
00604443419,Freightera,8/3/2016
00149982492,Canpar Express,12/8/2018
00259542765,Purolator,4/9/2012
00652730910,Purolator,4/13/2011
00895014739,DHL Express,12/28/2014
00735745430,Canada Post,2/13/2013
00243841119,Freightera,10/12/2016
00513205693,Purolator,10/17/2011
00988531531,Freightera,3/15/2010
00874583677,Freightera,11/5/2020
00494798565,eShipper,10/30/2012
00698536557,Canada Post,9/21/2020
00875440934,Purolator,4/22/2020
00861910328,eShipper,1/23/2015
00675188431,Freightera,12/23/2014
00345792403,DHL Express,4/1/2016
00075294645,Canpar Express,5/17/2012
00335173663,Freightera,1/13/2013
00474567235,Canpar Express,7/17/2015
00992589552,DHL Express,7/18/2012
00207886731,DHL Express,10/23/2016
00857175042,DHL Express,9/7/2011
00628371206,Purolator,11/21/2012
00985680725,eShipper,1/12/2013
00695801478,DHL Express,8/5/2021
00174092241,DHL Express,5/25/2016
00678706901,Canada Post,9/23/2011
00908239181,Canada Post,6/10/2014
00877110276,eShipper,8/10/2012
00815738681,DHL Express,2/22/2016
00532600527,Freightera,7/2/2019
00347675250,Purolator,7/12/2016
00723177524,Freightera,5/1/2019
00025212837,Canada Post,6/3/2020
00953431498,Canada Post,5/18/2013
00131932359,Canpar Express,5/25/2021
00235149467,Canpar Express,10/3/2017
00810442353,eShipper,9/30/2014
00060234461,Purolator,1/25/2020
00013557418,Freightera,11/3/2020
00945154399,Freightera,10/16/2016
00795926714,Canada Post,8/28/2011
00289760092,DHL Express,8/8/2017
00072976848,Canada Post,11/10/2016
00024999189,DHL Express,11/22/2015
00954245113,Canpar Express,5/29/2016
00873392979,Canpar Express,10/20/2016
00799470237,Freightera,12/14/2019
00739111549,eShipper,2/14/2016
00617599892,Canpar Express,4/8/2017
00496959522,Canada Post,9/13/2010
00855028038,Canada Post,11/29/2015
00386739095,eShipper,12/11/2019
00263494271,Purolator,12/21/2010
00854084826,Freightera,10/13/2018
00178346314,Purolator,9/2/2012
00923935425,eShipper,11/30/2018
00829861715,Canada Post,5/22/2010
00094117545,eShipper,5/22/2016
00470774688,Canada Post,10/8/2015
00639081306,Freightera,5/11/2011
00046875083,eShipper,12/12/2018
00524272222,Canpar Express,3/19/2018
00826386020,Canpar Express,10/26/2011
00624498928,eShipper,11/3/2013
00847616728,eShipper,2/21/2019
00712855280,Canpar Express,8/23/2017
00519609214,eShipper,6/20/2016
00890674970,Canpar Express,9/29/2014
00628291824,Canpar Express,9/13/2019
00184279020,Canada Post,10/16/2015
00011562895,eShipper,5/30/2020
00337353643,Freightera,7/25/2020
00474518175,DHL Express,3/19/2016
00094995015,Purolator,9/7/2021
00734279699,eShipper,11/16/2018
00495514313,Canpar Express,10/25/2013
00194555578,Canada Post,8/19/2015
00879496769,Freightera,5/16/2020
00346905236,Canada Post,12/23/2013
00845664522,Purolator,7/25/2013
00627406594,Canada Post,10/6/2015
00800876100,eShipper,2/5/2021
00104719187,Canada Post,9/27/2019
00330352792,Freightera,12/22/2013
00042460831,eShipper,3/16/2013
00925534552,Freightera,1/12/2017
00331551668,eShipper,12/18/2011
00199082882,DHL Express,10/1/2017
00275539411,Canpar Express,9/21/2011
00605451446,Canada Post,11/30/2014
00827674718,eShipper,3/1/2021
00379632540,eShipper,10/17/2018
00370869105,Canpar Express,8/8/2018
00634675518,DHL Express,7/25/2013
00085478369,Purolator,11/5/2016
00994093065,eShipper,9/4/2011
00438910045,eShipper,10/26/2012
00422953207,eShipper,4/8/2019
00342029100,Freightera,7/28/2016
00632576912,Canada Post,11/6/2014
00601359767,Canada Post,1/28/2013
00642690172,Canpar Express,11/16/2019
00519449784,Canpar Express,11/2/2016
00269105288,Canpar Express,3/26/2011
00659669758,eShipper,5/17/2019
00178552630,Freightera,2/18/2014
00763943002,DHL Express,10/18/2020
00539729292,Canada Post,10/23/2014
00780143083,Purolator,4/13/2017
00820280492,Purolator,9/7/2020
00830097786,Purolator,1/28/2020
00926134918,Canada Post,11/19/2011
00245537438,Canada Post,1/24/2019
00585494590,Canpar Express,12/30/2020
00147866172,Canpar Express,9/15/2015
00660418668,eShipper,11/27/2015
00195078993,Canpar Express,4/27/2015
00985082166,eShipper,7/3/2016
00539206667,DHL Express,10/3/2020
00819999351,eShipper,5/9/2016
00348140492,eShipper,9/8/2014
00879248918,DHL Express,4/21/2019
00674317033,Canpar Express,5/26/2013
00889395715,Canada Post,6/9/2014
00154717491,Canpar Express,9/7/2018
00995917052,Canada Post,4/27/2020
00477926315,eShipper,11/13/2016
00846723930,eShipper,2/13/2015
00155538065,DHL Express,7/22/2015
00752331341,Canpar Express,7/20/2019
00318871053,Purolator,7/7/2020
00926016381,Canada Post,6/2/2012
00564924150,Purolator,10/25/2012
00840294032,Purolator,2/2/2018
00767268217,DHL Express,12/1/2011
00480452004,Canpar Express,1/28/2016
00249143771,Canpar Express,7/5/2020
00853042642,DHL Express,11/30/2013
00602108990,DHL Express,2/27/2020
00528082880,Purolator,4/7/2011
00247176853,Canpar Express,10/29/2019
00585619436,Purolator,1/29/2018
00790194565,Purolator,8/8/2013
00779778912,Freightera,7/5/2011
00983776929,DHL Express,3/9/2015
00107322086,Canpar Express,3/8/2012
00923467733,Freightera,4/13/2010
00891389959,Canada Post,6/18/2013
00616666640,Purolator,12/11/2016
00858638322,DHL Express,2/14/2018
00142490158,DHL Express,4/22/2021
00142659423,DHL Express,1/8/2015
00670317484,Canada Post,11/30/2014
00487270799,Canpar Express,10/16/2017
00314773156,Canada Post,2/24/2019
00567813723,DHL Express,7/23/2014
00719622857,DHL Express,1/6/2013
00585627853,Canpar Express,2/15/2020
00224820708,DHL Express,1/21/2020
00191632262,DHL Express,10/18/2015
00034536798,Freightera,2/14/2015
00487876926,Canpar Express,4/19/2019
00381792047,Purolator,2/20/2018
00146896571,DHL Express,7/14/2010
00026761353,eShipper,12/16/2018
00021259922,Canpar Express,8/17/2016
00244375679,DHL Express,7/23/2017
00992267930,Canpar Express,3/3/2020
00851052537,Freightera,5/13/2021
00506227064,Canpar Express,2/8/2016
00475992119,DHL Express,5/28/2017
00740226171,eShipper,5/17/2020
00468291485,Canada Post,6/10/2019
00466609963,eShipper,4/5/2020
00191005989,Canada Post,11/6/2019
00043770468,Canpar Express,2/25/2012
00982631616,DHL Express,12/10/2014
00672173166,eShipper,2/16/2020
00165494530,DHL Express,9/28/2021
00040071539,Canpar Express,10/6/2010
00383168633,Purolator,7/4/2015
00460222401,Canpar Express,11/9/2017
00876403736,Canpar Express,11/1/2011
00024868866,DHL Express,6/15/2014
00660411611,DHL Express,6/28/2017
00168737484,Canada Post,12/30/2013
00221451480,DHL Express,5/17/2013
00487095248,Purolator,6/30/2014
00755921174,Freightera,7/12/2020
00597932362,Canpar Express,5/26/2014
00153231010,Canpar Express,12/24/2012
00376689191,eShipper,11/24/2015
00149678429,Purolator,10/6/2015
00000439744,DHL Express,9/30/2018
00516459742,Freightera,12/7/2011
00705041143,DHL Express,5/9/2014
00567494157,Canpar Express,1/26/2010
00390358876,Canada Post,7/15/2011
00819698557,eShipper,3/12/2013
00868076422,Freightera,9/17/2015
00215455376,Freightera,9/26/2014
00012832409,Freightera,10/8/2011
00290608819,Canpar Express,4/14/2019
00762537898,DHL Express,1/23/2013
00421798649,Freightera,11/16/2019
00887361957,Freightera,4/2/2020
00767587297,DHL Express,11/2/2015
00066141894,Purolator,6/10/2018
00863164004,Purolator,5/16/2018
00275252361,Canpar Express,5/12/2014
00516299633,Canpar Express,7/19/2020
00439526156,Canada Post,3/9/2014
00836584382,Canada Post,7/27/2020
00515829427,DHL Express,2/18/2015
00545443434,eShipper,1/31/2018
00453930635,Canpar Express,4/17/2017
00263798802,Canpar Express,11/16/2012
00891367287,Canpar Express,7/17/2012
00667272976,Purolator,4/5/2017
00230928611,DHL Express,5/28/2014
00460610530,eShipper,11/8/2015
00011944269,DHL Express,6/1/2014
00640997789,Canada Post,3/26/2011
00855996822,DHL Express,6/11/2015
00815701168,Freightera,11/27/2017
00978123189,Purolator,5/16/2014
00227535134,Freightera,5/6/2013
00500017146,Canada Post,8/18/2016
00784622505,eShipper,11/23/2015
00086016441,DHL Express,5/25/2013
00250626665,Freightera,2/15/2014
00609688269,Canpar Express,12/3/2019
00176409965,Canpar Express,1/29/2013
00910662415,DHL Express,2/11/2019
00129893690,Canpar Express,7/22/2016
00080412006,Canada Post,8/31/2015
00203987706,Canada Post,3/6/2017
00943120857,DHL Express,7/10/2021
00291188077,Canada Post,1/23/2010
00150874244,eShipper,7/11/2011
00460217272,Freightera,7/17/2013
00901767435,DHL Express,7/8/2017
00847840855,Purolator,7/6/2013
00930976965,Freightera,11/22/2010
00853619869,Purolator,1/28/2021
00455951208,Canpar Express,2/19/2013
00315703358,DHL Express,6/12/2019
00418429108,DHL Express,6/27/2018
00602159745,Canpar Express,4/16/2014
00225041193,Canpar Express,9/13/2015
00317037047,DHL Express,9/9/2019
00883153023,Freightera,6/7/2014
00130996093,Canada Post,12/18/2011
00764770363,Freightera,11/16/2013
00219664031,Freightera,3/22/2012
00893705029,eShipper,11/25/2013
00633557885,Canpar Express,8/12/2021
00232610595,Purolator,5/31/2011
00988382939,Purolator,2/24/2014
00632941771,DHL Express,7/24/2013
00700449997,Canpar Express,9/4/2017
00538134536,DHL Express,2/19/2020
00193128904,Freightera,4/26/2017
00455450128,Canada Post,1/31/2016
00189444623,Freightera,1/11/2014
00920521644,Purolator,12/17/2011
00368588274,Purolator,2/27/2015
00750503655,Freightera,5/16/2016
00008078913,eShipper,10/31/2016
00077360536,Freightera,10/21/2012
00255767102,DHL Express,7/4/2010
00081537532,Canada Post,3/28/2020
00479321444,eShipper,10/11/2017
00325930353,Freightera,2/24/2015
00482385912,Canpar Express,8/7/2015
00221561601,Canpar Express,12/27/2018
00243607388,DHL Express,10/6/2015
00793009616,Purolator,11/3/2016
00934035467,Purolator,8/12/2014
00071007111,Purolator,12/17/2017
00928741082,Freightera,3/23/2014
00797270986,Freightera,9/26/2018
00548810724,Canpar Express,12/4/2011
00631048707,Canada Post,1/29/2012
00070490205,Canada Post,7/15/2015
00834258021,Freightera,10/12/2018
00671261990,Canada Post,10/26/2020
00924666874,Freightera,9/15/2012
00327825808,Canada Post,10/26/2018
00272767774,Canpar Express,7/15/2021
00757730119,Canpar Express,6/18/2021
00559538771,Canpar Express,8/9/2010
00022103093,Canpar Express,12/2/2018
00023400299,Purolator,2/25/2020
00071464271,Canpar Express,12/15/2020
00449022428,Canada Post,12/29/2020
00083681100,Freightera,2/19/2011
00393812470,Canada Post,8/20/2017
00504588933,Canpar Express,10/23/2018
00675966897,Purolator,12/27/2014
00043235244,eShipper,4/17/2012
00302776359,Canpar Express,11/9/2011
00627285617,Freightera,4/4/2011
00291539685,Canpar Express,6/25/2011
00183014713,Canpar Express,5/6/2010
00821985362,Canada Post,8/11/2016
00227969108,DHL Express,3/10/2015
00206081062,DHL Express,4/15/2018
00533502076,DHL Express,3/2/2015
00444016683,DHL Express,7/28/2011
00794013238,Canada Post,6/4/2016
00435671672,Purolator,3/31/2020
00483826010,DHL Express,9/20/2012
00827339060,DHL Express,12/11/2015
00492346255,Canada Post,10/12/2012
00488936611,Canpar Express,3/26/2019
00809157982,Freightera,10/4/2018
00299041563,Canada Post,3/1/2014
00073412225,Canpar Express,4/4/2013
00675616283,eShipper,11/2/2014
00367979614,Canpar Express,5/4/2015
00386203840,DHL Express,12/14/2016
00655644006,eShipper,3/17/2012
00809730619,DHL Express,5/28/2013
00429914615,DHL Express,12/24/2016
00193601732,Canada Post,11/22/2013
00517513600,eShipper,9/12/2015
00780365059,Canpar Express,1/23/2021
00474350984,DHL Express,9/20/2018
00350411093,eShipper,12/16/2018
00827385748,Freightera,3/4/2016
00891993707,DHL Express,3/17/2011
00448529292,Freightera,3/2/2020
00588436999,Canpar Express,3/28/2012
00118194916,DHL Express,4/28/2021
00608926225,Freightera,10/30/2014
00907450256,Purolator,10/7/2018
00390593436,eShipper,8/10/2020
00944036030,Canpar Express,6/8/2018
00471236393,Canada Post,4/7/2021
00549628990,Canada Post,5/22/2012
00427355676,DHL Express,2/27/2017
00414070745,Canpar Express,2/16/2010
00132245173,Purolator,6/30/2011
00066647438,eShipper,8/31/2019
00078116577,Freightera,4/26/2015
00752988322,Purolator,3/30/2020
00387967419,Canada Post,7/6/2017
00294892561,Freightera,9/17/2014
00523876544,Canada Post,3/1/2015
00064983552,Freightera,11/25/2014
00195795091,Purolator,1/22/2012
00586319011,Canada Post,8/31/2013
00875752920,eShipper,9/7/2018
00986831599,eShipper,12/29/2014
00121876045,DHL Express,7/25/2011
00666753536,DHL Express,7/9/2013
00457462177,eShipper,1/28/2014
00785552314,Canpar Express,10/5/2013
00729856472,Purolator,3/20/2016
00794493183,Canpar Express,6/5/2012
00662098174,Purolator,12/17/2017
00004197891,Canpar Express,12/27/2011
00975809707,DHL Express,3/31/2017
00725434464,DHL Express,11/15/2017
00077857497,Canpar Express,7/16/2016
00692540373,Purolator,7/15/2013
00040923780,Freightera,3/16/2020
00562361149,Canada Post,9/18/2013
00580400047,Canpar Express,12/29/2016
00877166483,Canpar Express,7/12/2013
00577535443,Purolator,2/10/2019
00482669073,Canpar Express,3/2/2021
00036432522,Canpar Express,1/4/2012
00746594070,Purolator,12/3/2020
00165738506,DHL Express,1/20/2020
00205347826,Canada Post,12/15/2016
00205465501,Freightera,9/15/2011
00921324262,Canada Post,10/17/2012
00852234199,Purolator,3/19/2020
00691314711,DHL Express,2/13/2019
00500749826,DHL Express,4/15/2016
00971424111,DHL Express,3/8/2010
00103764198,eShipper,7/24/2016
00010240053,Canpar Express,5/25/2018
00645022082,eShipper,9/23/2014
00816198153,Purolator,7/16/2014
00853136240,Freightera,10/30/2017
00993769849,Canpar Express,2/12/2020
00841068896,Canada Post,11/22/2020
00910093212,Canada Post,12/9/2020
00205979455,Canada Post,1/3/2016
00764943365,Freightera,9/18/2016
00491633225,DHL Express,8/6/2014
00400522504,Canada Post,6/18/2014
00973610300,Freightera,6/8/2016
00467571380,eShipper,5/26/2010
00853045634,Canada Post,1/18/2010
00338370473,eShipper,3/13/2015
00719079600,eShipper,11/3/2021
00345778074,eShipper,9/11/2020
00643100961,Freightera,1/29/2017
00780228086,Freightera,11/15/2018
00875516731,eShipper,11/13/2010
00519618925,DHL Express,1/13/2015
00134518869,Canpar Express,8/27/2013
00355332602,eShipper,1/22/2013
00213176765,eShipper,6/16/2012
00062571106,eShipper,12/13/2012
00960828916,eShipper,2/23/2015
00502196862,Canpar Express,5/4/2015
00966402071,Purolator,4/5/2018
00512636797,Purolator,2/7/2019
00133417582,eShipper,5/13/2021
00489941784,DHL Express,5/25/2013
00292211079,eShipper,8/26/2018
00913542362,eShipper,1/9/2020
00347195618,Freightera,11/4/2014
00481930760,Canpar Express,5/10/2018
00351596461,eShipper,10/26/2018
00589690223,Purolator,9/13/2010
00916104877,Canpar Express,12/26/2014
00457762295,Freightera,4/10/2016
00680542726,eShipper,11/27/2011
00624217224,eShipper,6/26/2015
00850909735,DHL Express,9/21/2013
00015702706,Freightera,6/11/2012
00912377557,Purolator,3/19/2021
00149273590,eShipper,2/19/2019
00287836823,eShipper,7/4/2011
00195877446,Freightera,12/16/2012
00747236145,Canada Post,5/21/2021
00247373068,Freightera,4/30/2011
00883153148,eShipper,2/9/2013
00361167864,Purolator,7/21/2019
00515194829,Freightera,7/5/2012
00494499357,Canada Post,6/2/2017
00130339764,DHL Express,1/15/2016
00657082619,Canada Post,12/27/2016
00516616969,Canada Post,10/2/2016
00672349409,Canpar Express,4/11/2011
00909235672,Canada Post,12/6/2016
00466061149,Canpar Express,12/15/2015
00385005826,Freightera,6/17/2019
00893711688,Canada Post,9/5/2019
00229099626,Freightera,4/30/2015
00721302218,Freightera,9/28/2018
00703304848,Purolator,11/15/2019
00590043226,Freightera,11/10/2016
00712227765,Canpar Express,3/23/2013
00359831369,DHL Express,10/17/2012
00913926589,Canada Post,11/5/2010
00959622512,Purolator,7/8/2018
00577241787,Canpar Express,4/24/2016
00347919962,eShipper,1/21/2021
00638741834,DHL Express,6/18/2018
00006957521,Purolator,7/17/2021
00893531283,Canpar Express,10/22/2020
00574262826,Canada Post,3/16/2011
00711304907,Freightera,4/14/2013
00443788307,Freightera,10/21/2017
00879991570,Canpar Express,7/12/2017
00246056657,Canada Post,3/31/2018
00940220977,Freightera,8/21/2013
00616622046,eShipper,3/2/2012
00962306387,Freightera,2/6/2021
00253981954,Canada Post,2/27/2017
00499999125,Canada Post,10/16/2010
00905909609,DHL Express,1/16/2020
00282827302,DHL Express,2/12/2016
00234895784,Canpar Express,2/11/2017
00527185774,Purolator,10/31/2012
00975445117,eShipper,10/13/2020
00343226097,eShipper,6/27/2010
00522843692,Freightera,3/14/2014
00322710069,eShipper,7/27/2015
00167487072,Freightera,12/18/2013
00083001782,Canpar Express,2/1/2021
00750528597,Canpar Express,3/18/2014
00333108424,Purolator,10/1/2019
00543591198,Canpar Express,12/11/2017
00659666058,Canpar Express,7/6/2013
00106629290,DHL Express,8/29/2015
00715955597,Canpar Express,8/12/2014
00388542157,eShipper,7/24/2021
00916014435,Canpar Express,2/22/2018
00146012904,Canpar Express,5/4/2020
00691077592,Purolator,3/2/2020
00717432665,Freightera,6/7/2011
00090253026,eShipper,8/12/2014
00003518308,Canpar Express,7/29/2014
00533174639,eShipper,5/29/2016
00247283036,Canada Post,12/9/2017
00595371578,DHL Express,1/10/2014
00473202024,Canpar Express,1/8/2011
00821299323,Purolator,1/6/2019
00590477799,eShipper,2/2/2019
00299364013,Freightera,6/23/2013
00277771360,Purolator,4/29/2020
00042783052,eShipper,6/2/2016
00151577965,Purolator,6/11/2018
